semantic_class,target,n_seeds,nested_f1_mean,nested_f1_std,frozen_f1_mean,frozen_f1_std,delta_nested_minus_frozen,wilcoxon_p,full40_f1_mean,full40_f1_std
DoS,UNSW,30,0.9083131666666667,0.00537679473217585,0.9121345666666664,0.005109820934060309,-0.0038213999999996418,3.725290298461914e-09,0.9142071666666668,0.006104611739374236
DoS,CIC,30,0.9999334999999999,7.700100760649236e-05,0.9999388999999999,6.906735842640944e-05,-5.399999999933236e-06,0.6819183091966599,0.9999584,5.6857717154333166e-05
DoS,ToN,30,0.8980352,0.0030255119304638863,0.8983616666666667,0.002426384728474589,-0.00032646666666669155,0.749864763087656,0.8986413666666665,0.0024078604823159584
DoS,BoT,30,0.9510646666666668,0.0021142866137440876,0.9557748333333332,0.0017144100841927012,-0.00471016666666646,1.7333066441991056e-06,0.9558974333333334,0.0015235854419265622
Reconnaissance,UNSW,30,0.9652113666666665,0.002270980776780321,0.9655399666666667,0.0021859913790304333,-0.00032860000000023426,0.038898677060715176,0.9659556333333332,0.0020550085239077133
Reconnaissance,ToN,30,0.9722666333333333,0.0020074653169732588,0.9712796999999999,0.0017250285784739018,0.0009869333333334396,0.010598260909318924,0.9746046,0.0014675426704716969
Reconnaissance,BoT,30,0.9693360333333333,0.0025158198154236282,0.9689473666666667,0.002534060289451449,0.0003886666666665928,0.5698575973510742,0.9696386333333332,0.0020188838412270823
