semantic_class,target,n_seeds,n_pairs,jaccard_mean,jaccard_median,jaccard_min,jaccard_max,spearman_mean,spearman_median,spearman_min,spearman_max,dominant_feature_mode,dominant_feature_freq
DoS,UNSW,30,435,0.575629734250424,0.5384615384615384,0.3333333333333333,1.0,0.8859912445278301,0.8898686679174486,0.776172607879925,0.9621013133208257,MIN_TTL,1.0
DoS,CIC,30,435,0.8495994427028911,0.8181818181818182,0.6666666666666666,1.0,0.9286476682571382,0.9281391830559758,0.8410696064809547,0.984870194588553,DURATION_OUT,1.0
DoS,ToN,30,435,0.6926230857265339,0.6666666666666666,0.42857142857142855,1.0,0.9599920443874024,0.9610146668371398,0.9114243023777931,0.9848463620886565,TCP_WIN_MAX_IN,1.0
DoS,BoT,30,435,0.8137234413096482,0.8181818181818182,0.6666666666666666,1.0,0.9658679236771865,0.9675905247724866,0.8955109542432365,0.9890432745082827,NUM_PKTS_UP_TO_128_BYTES,1.0
Reconnaissance,UNSW,30,435,0.6919249333042437,0.6666666666666666,0.42857142857142855,1.0,0.9143599103313469,0.9157598499061914,0.8288930581613511,0.9658536585365854,MIN_TTL,0.5333333333333333
Reconnaissance,ToN,30,435,0.8712643678160921,0.8181818181818182,0.8181818181818182,1.0,0.969285906668983,0.970913884611971,0.9324077124568695,0.9892070540118604,LONGEST_FLOW_PKT,0.9666666666666667
Reconnaissance,BoT,30,435,0.9130616509926854,1.0,0.6666666666666666,1.0,0.9707239299673339,0.971659159159159,0.9403924150227181,0.9909909909909909,SERVER_TCP_FLAGS,1.0
