semantic_class,target,n_seeds,n_pairs,jaccard_mean,jaccard_median,jaccard_min,jaccard_max,spearman_mean,spearman_median,spearman_min,spearman_max,dominant_feature_mode,dominant_feature_freq
DoS,UNSW,30,435,0.5638598948943777,0.5384615384615384,0.3333333333333333,1.0,0.883591037501887,0.8891181988742966,0.7570356472795498,0.9617260787992497,MIN_TTL,1.0
DoS,CIC,30,435,0.8495994427028911,0.8181818181818182,0.6666666666666666,1.0,0.9289434503546179,0.9277628503808718,0.8435321976711018,0.9844918349287034,DURATION_OUT,1.0
DoS,ToN,30,435,0.696527993079717,0.6666666666666666,0.42857142857142855,1.0,0.96058251217612,0.9622467028363231,0.9092627475257938,0.9855263157894736,TCP_WIN_MAX_IN,1.0
DoS,BoT,30,435,0.8123301985370952,0.8181818181818182,0.6666666666666666,1.0,0.9662463412221327,0.9677480196152394,0.8932495629446424,0.9886480884087022,NUM_PKTS_UP_TO_128_BYTES,1.0
Reconnaissance,UNSW,30,435,0.6919356505563402,0.6666666666666666,0.42857142857142855,1.0,0.915013119027026,0.9165103189493434,0.8191369606003753,0.9684803001876174,MIN_TTL,0.5333333333333333
Reconnaissance,ToN,30,435,0.8716823406478579,0.8181818181818182,0.8181818181818182,1.0,0.970129278203016,0.9718039035968191,0.9330644036720016,0.990333285951912,LONGEST_FLOW_PKT,0.9666666666666667
Reconnaissance,BoT,30,435,0.9130616509926854,1.0,0.6666666666666666,1.0,0.970818433162839,0.9720345345345344,0.9394537122726455,0.9917417417417416,SERVER_TCP_FLAGS,1.0
