semantic_class,target,seed,n_test_pos_used,top10_features,dominant_feature
DoS,UNSW,60,1159,MIN_TTL;L4_SRC_PORT;MAX_TTL;L4_DST_PORT;SRC_TO_DST_SECOND_BYTES;LONGEST_FLOW_PKT;L7_PROTO;IN_BYTES;RETRANSMITTED_IN_PKTS;OUT_BYTES,MIN_TTL
DoS,UNSW,61,1159,MIN_TTL;L4_SRC_PORT;L4_DST_PORT;MAX_TTL;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;OUT_BYTES;L7_PROTO;DST_TO_SRC_AVG_THROUGHPUT;ICMP_IPV4_TYPE,MIN_TTL
DoS,UNSW,62,1159,MIN_TTL;MAX_TTL;L4_DST_PORT;L4_SRC_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;TCP_FLAGS;IN_PKTS;MIN_IP_PKT_LEN;ICMP_IPV4_TYPE,MIN_TTL
DoS,UNSW,63,1159,MIN_TTL;L4_SRC_PORT;L4_DST_PORT;SRC_TO_DST_SECOND_BYTES;LONGEST_FLOW_PKT;MAX_TTL;L7_PROTO;IN_BYTES;OUT_BYTES;RETRANSMITTED_IN_BYTES,MIN_TTL
DoS,UNSW,64,1159,MIN_TTL;L4_SRC_PORT;L4_DST_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;RETRANSMITTED_IN_BYTES;L7_PROTO;IN_BYTES;OUT_BYTES;ICMP_IPV4_TYPE,MIN_TTL
DoS,UNSW,65,1159,MIN_TTL;MAX_TTL;L4_DST_PORT;LONGEST_FLOW_PKT;L4_SRC_PORT;OUT_BYTES;SRC_TO_DST_SECOND_BYTES;IN_PKTS;ICMP_IPV4_TYPE;ICMP_TYPE,MIN_TTL
DoS,UNSW,66,1159,MIN_TTL;L4_SRC_PORT;L4_DST_PORT;MAX_TTL;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;MIN_IP_PKT_LEN;TCP_FLAGS;IN_BYTES;NUM_PKTS_UP_TO_128_BYTES,MIN_TTL
DoS,UNSW,67,1159,MIN_TTL;MAX_TTL;L4_SRC_PORT;L4_DST_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;RETRANSMITTED_IN_BYTES;DST_TO_SRC_SECOND_BYTES;NUM_PKTS_UP_TO_128_BYTES;TCP_FLAGS,MIN_TTL
DoS,UNSW,68,1159,MIN_TTL;L4_DST_PORT;MAX_TTL;L4_SRC_PORT;LONGEST_FLOW_PKT;MIN_IP_PKT_LEN;SRC_TO_DST_SECOND_BYTES;IN_PKTS;TCP_FLAGS;L7_PROTO,MIN_TTL
DoS,UNSW,69,1159,MIN_TTL;MAX_TTL;L4_DST_PORT;L4_SRC_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;IN_BYTES;MIN_IP_PKT_LEN;OUT_BYTES;IN_PKTS,MIN_TTL
DoS,UNSW,70,1159,MIN_TTL;L4_DST_PORT;L4_SRC_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;IN_BYTES;RETRANSMITTED_IN_BYTES;CLIENT_TCP_FLAGS;OUT_BYTES;L7_PROTO,MIN_TTL
DoS,UNSW,71,1159,MIN_TTL;MAX_TTL;L4_SRC_PORT;LONGEST_FLOW_PKT;L4_DST_PORT;SRC_TO_DST_SECOND_BYTES;OUT_BYTES;IN_BYTES;SHORTEST_FLOW_PKT;SRC_TO_DST_AVG_THROUGHPUT,MIN_TTL
DoS,CIC,42,3000,DURATION_OUT;MIN_TTL;MAX_TTL;TCP_WIN_MAX_IN;L7_PROTO;NUM_PKTS_256_TO_512_BYTES;DURATION_IN;L4_DST_PORT;SHORTEST_FLOW_PKT;TCP_FLAGS,DURATION_OUT
DoS,CIC,43,3000,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;TCP_WIN_MAX_IN;SHORTEST_FLOW_PKT;L4_DST_PORT;DURATION_IN;FLOW_DURATION_MILLISECONDS;L4_SRC_PORT,DURATION_OUT
DoS,CIC,44,3000,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;TCP_WIN_MAX_IN;SHORTEST_FLOW_PKT;L4_DST_PORT;DURATION_IN;TCP_FLAGS;L4_SRC_PORT,DURATION_OUT
DoS,CIC,45,3000,DURATION_OUT;MIN_TTL;MAX_TTL;L4_DST_PORT;L7_PROTO;L4_SRC_PORT;SHORTEST_FLOW_PKT;FLOW_DURATION_MILLISECONDS;DURATION_IN;TCP_WIN_MAX_IN,DURATION_OUT
DoS,CIC,46,3000,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;SHORTEST_FLOW_PKT;DURATION_IN;L4_DST_PORT;FLOW_DURATION_MILLISECONDS;TCP_WIN_MAX_IN;NUM_PKTS_256_TO_512_BYTES,DURATION_OUT
