semantic_class,target,source,condition,env_same,seed,f1,auc_roc
DoS,UNSW,—,Full-40,True,56,0.908946,0.994384
DoS,UNSW,UNSW,Target-10,True,56,0.911765,0.994549
DoS,UNSW,CIC,SHAP-10,True,56,0.908014,0.993974
DoS,UNSW,ToN,SHAP-10,False,56,0.880031,0.992578
DoS,UNSW,BoT,SHAP-10,False,56,0.878067,0.992157
DoS,UNSW,Random,Random-10,True,56,0.884407,0.992541
DoS,UNSW,—,Full-40,True,57,0.914557,0.994865
DoS,UNSW,UNSW,Target-10,True,57,0.912114,0.995167
DoS,UNSW,CIC,SHAP-10,True,57,0.911672,0.994568
DoS,UNSW,ToN,SHAP-10,False,57,0.886829,0.993539
DoS,UNSW,BoT,SHAP-10,False,57,0.881992,0.991714
DoS,UNSW,Random,Random-10,True,57,0.874479,0.992103
DoS,UNSW,—,Full-40,True,58,0.916006,0.994319
DoS,UNSW,UNSW,Target-10,True,58,0.912698,0.994998
DoS,UNSW,CIC,SHAP-10,True,58,0.910742,0.994181
DoS,UNSW,ToN,SHAP-10,False,58,0.879541,0.992924
DoS,UNSW,BoT,SHAP-10,False,58,0.874762,0.992124
DoS,UNSW,Random,Random-10,True,58,0.878161,0.992399
DoS,UNSW,—,Full-40,True,59,0.911683,0.994712
DoS,UNSW,UNSW,Target-10,True,59,0.912992,0.994876
DoS,UNSW,CIC,SHAP-10,True,59,0.907444,0.994334
DoS,UNSW,ToN,SHAP-10,False,59,0.886566,0.992805
DoS,UNSW,BoT,SHAP-10,False,59,0.878254,0.9915
DoS,UNSW,Random,Random-10,True,59,0.891397,0.993738
DoS,UNSW,—,Full-40,True,60,0.908448,0.994485
DoS,UNSW,UNSW,Target-10,True,60,0.907022,0.994674
DoS,UNSW,CIC,SHAP-10,True,60,0.902068,0.993599
DoS,UNSW,ToN,SHAP-10,False,60,0.882669,0.992992
DoS,UNSW,BoT,SHAP-10,False,60,0.877059,0.991793
DoS,UNSW,Random,Random-10,True,60,0.887433,0.993654
DoS,UNSW,—,Full-40,True,61,0.916303,0.994846
DoS,UNSW,UNSW,Target-10,True,61,0.913061,0.995014
DoS,UNSW,CIC,SHAP-10,True,61,0.909235,0.993827
DoS,UNSW,ToN,SHAP-10,False,61,0.883649,0.992275
DoS,UNSW,BoT,SHAP-10,False,61,0.874091,0.991669
DoS,UNSW,Random,Random-10,True,61,0.910601,0.994879
DoS,UNSW,—,Full-40,True,62,0.913061,0.995344
DoS,UNSW,UNSW,Target-10,True,62,0.911613,0.995264
DoS,UNSW,CIC,SHAP-10,True,62,0.904066,0.994823
DoS,UNSW,ToN,SHAP-10,False,62,0.884675,0.993393
DoS,UNSW,BoT,SHAP-10,False,62,0.876002,0.992388
DoS,UNSW,Random,Random-10,True,62,0.872243,0.992294
DoS,UNSW,—,Full-40,True,63,0.908445,0.995575
DoS,UNSW,UNSW,Target-10,True,63,0.90716,0.995456
DoS,UNSW,CIC,SHAP-10,True,63,0.904799,0.994672
DoS,UNSW,ToN,SHAP-10,False,63,0.885106,0.99377
DoS,UNSW,BoT,SHAP-10,False,63,0.883596,0.992908
DoS,UNSW,Random,Random-10,True,63,0.874952,0.992732
DoS,UNSW,—,Full-40,True,64,0.900548,0.993851
DoS,UNSW,UNSW,Target-10,True,64,0.898789,0.993813
DoS,UNSW,CIC,SHAP-10,True,64,0.895371,0.993263
DoS,UNSW,ToN,SHAP-10,False,64,0.869002,0.991342
DoS,UNSW,BoT,SHAP-10,False,64,0.865807,0.99041
DoS,UNSW,Random,Random-10,True,64,0.894881,0.993865
DoS,UNSW,—,Full-40,True,65,0.927653,0.995625
DoS,UNSW,UNSW,Target-10,True,65,0.922026,0.995691
DoS,UNSW,CIC,SHAP-10,True,65,0.918897,0.994883
DoS,UNSW,ToN,SHAP-10,False,65,0.893667,0.994028
DoS,UNSW,BoT,SHAP-10,False,65,0.890881,0.993465
DoS,UNSW,Random,Random-10,True,65,0.898539,0.993949
DoS,UNSW,—,Full-40,True,66,0.913786,0.994804
DoS,UNSW,UNSW,Target-10,True,66,0.912211,0.994506
DoS,UNSW,CIC,SHAP-10,True,66,0.911111,0.994485
DoS,UNSW,ToN,SHAP-10,False,66,0.887763,0.992542
DoS,UNSW,BoT,SHAP-10,False,66,0.881291,0.99175
DoS,UNSW,Random,Random-10,True,66,0.906931,0.995153
DoS,UNSW,—,Full-40,True,67,0.911173,0.99477
DoS,UNSW,UNSW,Target-10,True,67,0.909522,0.994853
DoS,UNSW,CIC,SHAP-10,True,67,0.90523,0.993916
DoS,UNSW,ToN,SHAP-10,False,67,0.888631,0.992717
DoS,UNSW,BoT,SHAP-10,False,67,0.881017,0.991868
DoS,UNSW,Random,Random-10,True,67,0.891557,0.993898
DoS,UNSW,—,Full-40,True,68,0.907517,0.995248
DoS,UNSW,UNSW,Target-10,True,68,0.908661,0.995315
DoS,UNSW,CIC,SHAP-10,True,68,0.905734,0.994292
DoS,UNSW,ToN,SHAP-10,False,68,0.881878,0.992933
DoS,UNSW,BoT,SHAP-10,False,68,0.866514,0.990588
DoS,UNSW,Random,Random-10,True,68,0.876336,0.992266
DoS,UNSW,—,Full-40,True,69,0.909524,0.995533
DoS,UNSW,UNSW,Target-10,True,69,0.906719,0.995102
DoS,UNSW,CIC,SHAP-10,True,69,0.906931,0.995186
DoS,UNSW,ToN,SHAP-10,False,69,0.888975,0.993464
DoS,UNSW,BoT,SHAP-10,False,69,0.883918,0.993351
DoS,UNSW,Random,Random-10,True,69,0.890881,0.993484
DoS,UNSW,—,Full-40,True,70,0.911823,0.994905
DoS,UNSW,UNSW,Target-10,True,70,0.907656,0.995092
