,BoT,CIC,ToN,UNSW
BoT,1.0,0.2929,0.1635,0.111
CIC,0.2929,1.0,0.2003,0.2962
ToN,0.1635,0.2003,1.0,0.1993
UNSW,0.111,0.2962,0.1993,1.0
