semantic_class,target,source,condition,env_same,seed,f1,auc_roc
DoS,UNSW,—,Full-40,True,42,0.91922,0.9951
DoS,UNSW,CIC,SHAP-10,True,42,0.917395,0.994731
DoS,UNSW,CIC,SHAP-10-Direct,True,42,0.318401,0.69646
DoS,UNSW,ToN,SHAP-10,False,42,0.887601,0.993128
DoS,UNSW,ToN,SHAP-10-Direct,False,42,0.0,0.267705
DoS,UNSW,BoT,SHAP-10,False,42,0.882669,0.992279
DoS,UNSW,BoT,SHAP-10-Direct,False,42,0.0,0.610317
DoS,UNSW,Random,Random-10,True,42,0.885309,0.993586
DoS,UNSW,—,Full-40,True,43,0.903839,0.994074
DoS,UNSW,CIC,SHAP-10,True,43,0.904931,0.993745
DoS,UNSW,CIC,SHAP-10-Direct,True,43,0.277976,0.506067
DoS,UNSW,ToN,SHAP-10,False,43,0.879815,0.991993
DoS,UNSW,ToN,SHAP-10-Direct,False,43,0.0,0.353203
DoS,UNSW,BoT,SHAP-10,False,43,0.871775,0.991211
DoS,UNSW,BoT,SHAP-10-Direct,False,43,0.0,0.51967
DoS,UNSW,Random,Random-10,True,43,0.892607,0.992827
DoS,UNSW,—,Full-40,True,44,0.920686,0.995994
DoS,UNSW,CIC,SHAP-10,True,44,0.911753,0.995375
DoS,UNSW,CIC,SHAP-10-Direct,True,44,0.302041,0.778768
DoS,UNSW,ToN,SHAP-10,False,44,0.887941,0.993445
DoS,UNSW,ToN,SHAP-10-Direct,False,44,0.001711,0.295806
DoS,UNSW,BoT,SHAP-10,False,44,0.886047,0.992704
DoS,UNSW,BoT,SHAP-10-Direct,False,44,0.001723,0.369509
DoS,UNSW,Random,Random-10,True,44,0.912253,0.99485
DoS,UNSW,—,Full-40,True,45,0.9208,0.99485
DoS,UNSW,CIC,SHAP-10,True,45,0.913286,0.994593
DoS,UNSW,CIC,SHAP-10-Direct,True,45,0.330579,0.612381
DoS,UNSW,ToN,SHAP-10,False,45,0.891415,0.992952
DoS,UNSW,ToN,SHAP-10-Direct,False,45,0.0,0.34893
DoS,UNSW,BoT,SHAP-10,False,45,0.883379,0.992163
DoS,UNSW,BoT,SHAP-10-Direct,False,45,0.0,0.446662
DoS,UNSW,Random,Random-10,True,45,0.893385,0.993935
DoS,UNSW,—,Full-40,True,46,0.921969,0.995835
DoS,UNSW,CIC,SHAP-10,True,46,0.91866,0.99523
DoS,UNSW,CIC,SHAP-10-Direct,True,46,0.301598,0.788778
DoS,UNSW,ToN,SHAP-10,False,46,0.889752,0.99359
DoS,UNSW,ToN,SHAP-10-Direct,False,46,0.0,0.286081
DoS,UNSW,BoT,SHAP-10,False,46,0.883488,0.992466
DoS,UNSW,BoT,SHAP-10-Direct,False,46,0.0,0.585476
DoS,UNSW,Random,Random-10,True,46,0.889232,0.993238
DoS,UNSW,—,Full-40,True,47,0.916965,0.99593
DoS,UNSW,CIC,SHAP-10,True,47,0.909019,0.995312
DoS,UNSW,CIC,SHAP-10-Direct,True,47,0.312415,0.679206
DoS,UNSW,ToN,SHAP-10,False,47,0.881538,0.993597
DoS,UNSW,ToN,SHAP-10-Direct,False,47,0.0,0.54092
DoS,UNSW,BoT,SHAP-10,False,47,0.875912,0.992771
DoS,UNSW,BoT,SHAP-10-Direct,False,47,0.003328,0.551949
DoS,UNSW,Random,Random-10,True,47,0.904239,0.995035
DoS,UNSW,—,Full-40,True,48,0.913561,0.994878
DoS,UNSW,CIC,SHAP-10,True,48,0.908087,0.994457
DoS,UNSW,CIC,SHAP-10-Direct,True,48,0.320833,0.740306
DoS,UNSW,ToN,SHAP-10,False,48,0.884586,0.99342
DoS,UNSW,ToN,SHAP-10-Direct,False,48,0.0,0.379707
DoS,UNSW,BoT,SHAP-10,False,48,0.878869,0.991607
DoS,UNSW,BoT,SHAP-10-Direct,False,48,0.0,0.61195
DoS,UNSW,Random,Random-10,True,48,0.892607,0.993818
DoS,UNSW,—,Full-40,True,49,0.917994,0.995022
DoS,UNSW,CIC,SHAP-10,True,49,0.907444,0.99437
DoS,UNSW,CIC,SHAP-10-Direct,True,49,0.325742,0.74729
DoS,UNSW,ToN,SHAP-10,False,49,0.881737,0.993376
DoS,UNSW,ToN,SHAP-10-Direct,False,49,0.0,0.34163
DoS,UNSW,BoT,SHAP-10,False,49,0.876628,0.991796
DoS,UNSW,BoT,SHAP-10-Direct,False,49,0.0,0.525755
DoS,UNSW,Random,Random-10,True,49,0.881655,0.993123
DoS,UNSW,—,Full-40,True,50,0.917994,0.994813
DoS,UNSW,CIC,SHAP-10,True,50,0.909307,0.994403
DoS,UNSW,CIC,SHAP-10-Direct,True,50,0.311453,0.665035
DoS,UNSW,ToN,SHAP-10,False,50,0.887091,0.992965
DoS,UNSW,ToN,SHAP-10-Direct,False,50,0.0,0.258782
DoS,UNSW,BoT,SHAP-10,False,50,0.883237,0.992144
DoS,UNSW,BoT,SHAP-10-Direct,False,50,0.001721,0.610879
DoS,UNSW,Random,Random-10,True,50,0.870651,0.991663
DoS,UNSW,—,Full-40,True,51,0.91594,0.994792
DoS,UNSW,CIC,SHAP-10,True,51,0.910383,0.994458
DoS,UNSW,CIC,SHAP-10-Direct,True,51,0.303073,0.822535
DoS,UNSW,ToN,SHAP-10,False,51,0.883918,0.992846
DoS,UNSW,ToN,SHAP-10-Direct,False,51,0.0,0.432618
DoS,UNSW,BoT,SHAP-10,False,51,0.879815,0.991769
DoS,UNSW,BoT,SHAP-10-Direct,False,51,0.0,0.641129
DoS,UNSW,Random,Random-10,True,51,0.887861,0.9937
DoS,UNSW,—,Full-40,True,52,0.912768,0.995007
DoS,UNSW,CIC,SHAP-10,True,52,0.913112,0.994707
DoS,UNSW,CIC,SHAP-10-Direct,True,52,0.297429,0.815328
DoS,UNSW,ToN,SHAP-10,False,52,0.884853,0.992961
DoS,UNSW,ToN,SHAP-10-Direct,False,52,0.0,0.448374
DoS,UNSW,BoT,SHAP-10,False,52,0.877692,0.991987
DoS,UNSW,BoT,SHAP-10-Direct,False,52,0.001726,0.628712
DoS,UNSW,Random,Random-10,True,52,0.858101,0.991789
DoS,UNSW,—,Full-40,True,53,0.905956,0.993872
DoS,UNSW,CIC,SHAP-10,True,53,0.902468,0.993573
DoS,UNSW,CIC,SHAP-10-Direct,True,53,0.315927,0.637883
DoS,UNSW,ToN,SHAP-10,False,53,0.868502,0.991711
DoS,UNSW,ToN,SHAP-10-Direct,False,53,0.001685,0.332331
DoS,UNSW,BoT,SHAP-10,False,53,0.862715,0.990785
DoS,UNSW,BoT,SHAP-10-Direct,False,53,0.0,0.54418
DoS,UNSW,Random,Random-10,True,53,0.846553,0.989313
DoS,UNSW,—,Full-40,True,54,0.920737,0.995832
