class,f1,precision,recall,auc_roc,support_pos,support_neg
DDoS,0.9870142743854085,0.9784787735849056,0.9957,0.999522475,10000,100000
DoS,0.9567518160388705,0.9218503754519329,0.9944,0.999393608,10000,100000
Reconnaissance,0.9705377714593852,0.9519184536974709,0.9899,0.9996220585,10000,100000
