class,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE
backdoor,0.16116433,0.06901436,0.00471836,0.99176383,0.041641813,1.0835339,0.44708923,7.362087,0.034290653,0.1235097,0.060920663,0.08766828,0.0001950404,0.007833553,0.5320604,0.0030596012,1.3002071,0.19568564,0.076689355,0.1378064,0.10083276,0.0,0.0,0.0006157599,0.0006112558,0.42233905,0.725688,0.5471184,0.05779885,0.058733296,0.006574328,0.040857732,0.47944802,0.08865219,0.0,0.0,0.31304112,0.049189806,0.026895637,0.0
ddos,0.34246817,1.7046256,0.0006196252,0.5770793,0.28048113,0.117299326,0.22732216,0.12423704,0.069866434,0.42795122,0.2794035,0.15102167,0.14535,0.12838227,0.023393847,0.00091097725,0.4453791,0.38013783,0.34970692,0.21259107,0.08563839,0.0045614485,0.001496182,0.10328335,0.14597076,0.17509496,0.35493892,0.2984111,0.56469065,0.06690472,0.09129966,0.018724766,1.9818944,0.47397518,0.0008287427,0.000118810305,0.075381935,0.06473765,0.08201027,0.00018263573
dos,0.25240868,0.13072829,0.0090288855,0.045844246,0.22229062,0.26786622,0.078175195,0.018695666,0.009775836,0.0078550335,0.009921264,0.0106301755,0.0057986276,0.0013223503,0.5016426,0.07801829,0.7597829,0.13095142,0.22510645,0.1180318,0.15438771,3.8869126e-05,0.0,0.00015450022,9.241818e-05,0.34782287,0.14764544,0.07878548,0.0065289587,0.0068546142,0.0013244515,0.00038107517,2.6027932,0.01536544,0.00026676906,8.60331e-06,0.2661017,0.6079162,0.50646985,0.0
injection,0.12812477,0.60085696,0.0,0.16616687,0.21495079,0.24620531,0.6064171,0.34921458,0.19676003,0.3485513,0.34251642,0.20182858,0.0717645,0.067758,0.0022686461,0.0011560355,0.24885184,0.13051802,0.060180433,0.14023614,0.234373,0.016462797,0.0010901808,0.01105524,0.00682905,0.17666063,0.87990487,0.29186842,0.2268154,0.15579146,0.32108897,0.08861665,0.7796916,0.36664718,0.0055871853,0.0013616191,0.027482217,0.027731812,0.05536292,0.0
mitm,0.3681747,0.08468624,0.1674277,0.08298912,0.34028435,0.08036235,0.15099949,0.019875502,0.046413966,0.0275823,0.038187344,0.051709786,0.020413663,0.018143328,0.033363704,0.012099628,0.77192855,0.42989996,0.4826768,0.15542203,0.1019291,0.00070939504,0.0,0.0006978137,0.0026908338,0.27762097,0.09111897,0.4537666,0.14021471,0.028448569,0.005499417,0.018386442,0.27460656,0.058907375,0.00065905723,0.00079134875,1.542848,0.32748565,0.19767502,0.0
password,0.11458052,1.914743,0.0013508848,0.47604692,0.47613603,0.22055928,0.16037348,0.101292044,0.114304565,0.2051541,0.09577795,0.1480603,0.14864282,0.14984453,0.0008503164,0.0026507643,0.26919195,0.12114474,0.27161914,0.21827957,0.15014595,0.047340374,0.000750284,0.0047919718,0.0009813386,0.46431625,0.30942583,0.4195124,0.61284876,0.11735935,0.30710807,0.046009086,0.11950972,0.80688477,0.004331449,0.0026190148,0.057518456,0.0032434158,0.011932416,0.054399345
scanning,0.08234235,0.6282917,0.0025667453,0.7681109,0.80075717,0.018332204,0.07533986,0.031139914,0.2835304,0.20570423,0.11098019,0.3740842,0.0056094304,0.009576001,0.0047962046,0.049165066,1.6366552,0.7020935,0.10512572,1.07407,0.08146665,9.1130554e-05,0.0,0.000693409,0.00033340068,1.5223652,0.08333346,0.18342005,0.02386974,0.00245533,0.0016163901,0.0049107485,0.31555983,0.050861403,0.0012300913,0.0,0.011435304,0.0084878905,0.008801804,0.00011228831
xss,0.082512744,1.1292576,0.0031498375,0.11619797,0.32634032,0.04260903,0.11894652,0.20581847,0.033113815,0.06528063,0.457624,0.056086585,0.031431966,0.040014513,0.009972888,0.0014498748,0.9430138,0.17388955,0.30742103,0.1328673,0.24810255,0.002569374,0.0014013519,0.0067591965,0.00073636475,0.49660566,0.0907711,0.13149399,0.21485469,0.02214176,0.060166102,0.09240627,0.024382735,0.5917727,0.0070407144,0.0018748532,0.16986412,0.8697654,0.077182434,0.0
