class,f1,precision,recall,auc_roc,support_pos,support_neg
backdoor,0.9986882378662003,0.9982517482517482,0.9991251093613298,0.9999677029392889,2286,22863
ddos,0.9721456692913386,0.9570736434108527,0.9877,0.9996524215,10000,100000
dos,0.8974903911372372,0.8191498142798184,0.9924,0.9978833389999999,10000,100000
injection,0.8085445026178011,0.6956396396396396,0.9652,0.9956259359999999,10000,100000
mitm,0.8328752061572292,0.7238413760152891,0.9805825242718447,0.9930147078851177,1545,15446
password,0.9386494321151927,0.8943221950556914,0.9876,0.9992094105,10000,100000
scanning,0.9727744589168543,0.9530800230282096,0.9933,0.9996662125,10000,100000
xss,0.9099908340971585,0.839932318104907,0.9928,0.998063995,10000,100000
