class,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE
Analysis,0.40562123,0.7672742,0.65435135,0.012210588,0.0864712,0.051293243,0.05312557,0.027130619,0.019774608,0.05654484,0.016172936,0.06892879,0.017722785,0.031337507,0.04985012,2.6602716,0.104974434,0.13842517,1.6582922,0.08388098,0.04747757,0.09630649,0.0059343143,0.3536307,0.0135781,0.17933644,0.13461812,0.07283954,0.006047526,0.017935185,0.009202106,0.0055703325,0.0,0.0,0.060356185,0.08464789,0.0154472925,0.0013321711,0.00062838837,0.0055298666
Backdoor,0.83215505,0.35103133,0.82318825,0.09576279,0.20738283,0.047782835,0.32172778,0.009488141,0.020554313,0.024743505,0.005117015,0.05627485,0.011519047,0.018624555,0.4035717,0.5384474,0.20912603,0.0972398,3.1041405,0.18150586,0.12490761,0.39075926,0.002762307,0.045440618,0.004485618,0.115678556,0.053679373,0.10962659,0.011393317,0.004434296,0.00766493,0.002396486,0.008160889,0.0003141277,0.16974865,0.071193784,0.01042894,0.0,0.0,0.0
DoS,0.41630885,0.39878258,0.07171922,0.10546285,0.139164,0.22234897,0.16788545,0.08868658,0.2464023,0.09348428,0.015488804,0.013562651,0.010923382,0.008090096,2.8499897,0.29038867,0.37250236,0.032629866,0.08911981,0.22614118,0.14569056,0.19766507,0.09307271,0.205626,0.03255256,0.18075483,0.103487715,0.05876557,0.051375385,0.062331688,0.019740615,0.030904735,0.0104252575,0.0067535634,0.09992425,0.11524912,0.024352955,0.01982376,0.0005908734,0.015244184
Exploits,0.15254955,0.26995182,0.031725954,0.32914248,0.13143797,0.057923388,0.21983975,0.0694755,0.036139686,0.1614608,0.020732656,0.019383924,0.017683908,0.0039901496,3.9197817,0.42703456,0.37835607,0.022302944,0.27656266,0.095845565,0.0997764,0.15682203,0.21384478,0.13110325,0.14588757,0.06835088,0.13963997,0.17677654,0.12864879,0.06948649,0.027960138,0.043578353,0.007829347,0.0059340275,0.087151326,0.08007812,0.0033930424,0.01967608,0.0023451438,0.09246967
Fuzzers,0.21684743,1.5235258,0.05833373,0.105815426,0.21575817,0.08748755,0.2632354,0.05466854,0.07308103,0.048928812,0.027213136,0.12409702,0.022818567,0.024143165,2.4374447,0.6258874,0.26768535,0.1213345,1.0932295,0.1494524,0.21865222,0.22807395,0.04207973,0.08989173,0.14341776,0.15021908,0.115844354,0.12137795,0.12726912,0.03997392,0.013734919,0.03686489,0.006327026,0.001599721,0.2580441,0.22436766,0.01884641,0.010890894,0.0,0.06967373
Generic,0.10395339,0.6532797,0.0498066,0.06335301,0.4633936,0.02553654,0.10595663,0.045069076,0.10684399,0.016765889,0.029623127,0.00745929,0.021546638,0.023352964,3.2510197,0.35459867,1.4599626,0.19032355,0.18427993,0.1379975,0.061043616,0.06462719,0.17638358,0.34665948,0.050998997,0.22114603,0.035225414,0.061186884,0.11903684,0.02408281,0.08451891,0.033030376,0.019284489,0.010457428,0.12963216,0.07094181,0.1684568,2.8032377,0.0,0.0035998172
Reconnaissance,0.30041653,2.8772213,0.12174368,0.15288739,0.11724838,0.015051021,0.060506035,0.09922128,0.021636298,0.0060013565,0.045151003,0.014757401,0.024601031,0.00035913155,2.9798608,0.84093475,0.18675458,0.22200067,1.0365503,0.22453047,0.109792374,0.060870826,0.0073114233,0.011751522,0.0021208166,0.10777231,0.021365732,0.07701902,0.020173572,0.019763226,0.016349358,0.00065988925,0.0059490935,0.005849775,0.15748492,0.15094227,0.006798448,0.015028694,0.0,0.0024529574
Shellcode,0.29307082,1.8006778,0.25647017,0.09092452,0.2945015,0.03391668,0.17982402,0.03846581,0.08357572,0.09299887,0.0,0.0046903174,0.0,0.0060377303,4.8462768,0.6247867,0.9752753,0.34356806,0.63099825,0.1349501,0.46836066,0.4556175,0.00057623564,0.0,0.0,0.13013741,0.33177555,0.11236643,0.01650954,0.0347135,0.009603443,0.0,0.007341391,0.18357342,0.49158353,0.04885536,0.0035219819,0.0,0.0,0.0
