class,f1,precision,recall,auc_roc,support_pos,support_neg
Analysis,0.9611752360965372,0.9290060851926978,0.9956521739130435,0.9964592355844697,460,4598
Backdoor,0.9575892857142857,0.9285714285714286,0.988479262672811,0.9972618994503615,434,4338
DoS,0.9084479371316306,0.834054834054834,0.997411561691113,0.9945052645874775,1159,11588
Exploits,0.9482161673942496,0.9029529816513762,0.998256735340729,0.9987385752968514,6310,63103
Fuzzers,0.9569429494079655,0.9206710853355426,0.9961900493052442,0.9991834930196946,4462,44620
Generic,0.962509117432531,0.9311318092012418,0.9960748792270532,0.9994783325238046,3312,33120
Reconnaissance,0.9658961727927245,0.9364437913299045,0.9972613458528952,0.9992351236825968,2556,25558
Shellcode,0.9930313588850174,0.986159169550173,1.0,0.9999913970565643,285,2855
