class,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE
DDoS,0.3826075,0.009282865,0.08427401,3.0099242,1.9659686,0.14486678,0.008061247,0.0023341463,0.011974592,0.0033521922,0.035145234,0.69048154,0.41378683,0.012173486,0.0,0.0,2.0225003,0.828378,0.00012982746,0.516875,0.0017218697,0.011625077,0.002088887,0.0010727562,0.000121434496,0.14548819,0.031336624,0.10331334,0.104561485,0.0,0.0,0.0,0.06530593,0.002271753,0.03128277,0.0063386704,0.0,0.0,0.0,0.0
DoS,0.8148875,0.015573454,0.0074519753,0.013346022,1.5175402,0.06083687,0.04168939,0.0013655864,0.049803667,0.11147543,0.09588003,0.5640136,0.52302724,0.0056575527,0.0010681802,0.0,0.041093037,0.05789138,0.0038639503,0.33385518,0.0017734595,0.009541164,0.0027903346,0.0014273016,0.00040190577,0.08479324,0.019332366,2.3538535,0.47360024,0.0005400663,0.00059339,0.00013149134,0.14631964,0.10270134,0.010114898,0.008298096,0.0,0.0,0.0,0.0
Reconnaissance,0.5151366,0.21399836,0.09528326,0.2402979,0.6383637,0.05376248,0.054765515,0.020684253,0.775774,0.2350556,2.595599,0.8903292,0.5331967,0.014077273,0.007865312,0.001906847,0.34084225,0.45389336,0.0011519971,0.21881956,0.06746297,0.0054105963,0.0015438903,0.0,0.0,0.78987396,0.074321225,0.18430847,0.26024953,0.003513856,0.010156068,0.0022845683,0.6315173,0.763296,0.009748902,0.00506624,0.007355073,0.0,0.00011057276,0.0
